horodatage;evenement;id;titre;prix;prix_avant;km;annee;batterie_soh;ville;departement;url
2026-08-27T04:29:19;nouvelle;autoscout24:266a52ec-6e71-4bbe-96d8-4e746567eb28;Megane E-Tech Electric 220ch Techno autonomie confort -25;29499;;4663;2025;;Cormontreuil;51;https://www.autoscout24.fr/offres/renault-megane-e-tech-electric-220ch-techno-autonomie-confort-25-electrique-cat_ma60mo1965-266a52ec-6e71-4bbe-96d8-4e746567eb28
2026-08-27T04:29:19;nouvelle;autoscout24:28d4bd42-4205-4327-9cc2-2900493bba12;Megane E-Tech Electric EV60 220ch Techno super charge;24799;;56418;2023;;Annemasse;74;https://www.autoscout24.fr/offres/renault-megane-e-tech-electric-ev60-220ch-techno-super-charge-electrique-cat_ma60mo1965-28d4bd42-4205-4327-9cc2-2900493bba12
2026-08-27T04:29:19;nouvelle;autoscout24:29b6ed8c-acf6-4859-8682-00565f2bbb18;Megane E-Tech Electric EV60 220ch Techno super charge;24999;;42242;2023;;Hazebrouck;59;https://www.autoscout24.fr/offres/renault-megane-e-tech-electric-ev60-220ch-techno-super-charge-electrique-cat_ma60mo1965-29b6ed8c-acf6-4859-8682-00565f2bbb18
2026-08-27T04:29:19;nouvelle;autoscout24:2f5578a3-6dec-4bf0-9eff-f39edacd2435;Megane E-Tech Electric EV60 220ch Techno optimum charge;25799;;59968;2023;;Cormontreuil;51;https://www.autoscout24.fr/offres/renault-megane-e-tech-electric-ev60-220ch-techno-optimum-charge-electrique-cat_ma60mo1965-2f5578a3-6dec-4bf0-9eff-f39edacd2435
2026-08-27T04:29:19;nouvelle;autoscout24:31217360-de72-4c75-87a5-2df986ec3371;Megane E-Tech Electric EV60 220ch Iconic optimum charge -B;25999;;54874;2023;;Thionville;57;https://www.autoscout24.fr/offres/renault-megane-e-tech-electric-ev60-220ch-iconic-optimum-charge-b-electrique-cat_ma60mo1965-31217360-de72-4c75-87a5-2df986ec3371
2026-08-27T04:29:19;nouvelle;autoscout24:32013759-e1d4-4801-b644-833f76369182;Megane E-Tech Electric EV60 220ch Techno super charge -C;25999;;45912;2023;;Chauny;02;https://www.autoscout24.fr/offres/renault-megane-e-tech-electric-ev60-220ch-techno-super-charge-c-electrique-cat_ma60mo1965-32013759-e1d4-4801-b644-833f76369182
2026-08-27T04:29:19;nouvelle;autoscout24:33aed162-08e3-44b7-94a2-fb7fca01f251;Megane E-Tech Electric EV60 220ch Iconic super charge -C;26999;;43233;2023;;Longuenesse;62;https://www.autoscout24.fr/offres/renault-megane-e-tech-electric-ev60-220ch-iconic-super-charge-c-electrique-cat_ma60mo1965-33aed162-08e3-44b7-94a2-fb7fca01f251
2026-08-27T04:29:19;nouvelle;autoscout24:33ef0771-c2a2-4a26-add1-a8e7256d478f;Megane E-Tech Electric EV60 220ch Iconic super charge -C;28999;;36640;2024;;Dunkerque;59;https://www.autoscout24.fr/offres/renault-megane-e-tech-electric-ev60-220ch-iconic-super-charge-c-electrique-cat_ma60mo1965-33ef0771-c2a2-4a26-add1-a8e7256d478f
2026-08-27T04:29:19;nouvelle;autoscout24:34ce9cf2-d4ae-44c1-9f03-0589482261a5;Megane E-Tech Electric EV60 130ch Evolution ER optimum ch;40590;;9000;2023;;Reims;51;https://www.autoscout24.fr/offres/renault-megane-e-tech-electric-ev60-130ch-evolution-er-optimum-ch-electrique-cat_ma60mo1965-34ce9cf2-d4ae-44c1-9f03-0589482261a5
2026-08-27T04:29:19;nouvelle;autoscout24:3534b8d6-82c6-47b7-bbe7-9e4c180deca3;Megane E-Tech Electric EV60 220ch Techno super charge -C;24499;;38965;2023;;Meaux;77;https://www.autoscout24.fr/offres/renault-megane-e-tech-electric-ev60-220ch-techno-super-charge-c-electrique-cat_ma60mo1965-3534b8d6-82c6-47b7-bbe7-9e4c180deca3
